origin,utc,name,n_cells,mean_mm,max_mm,coverage,eta_area,eta_first,reliable
1790380800,2026-09-26T00:00:00Z,Phra Nakhon Si Ayutthaya,14,0.0,0.0,0.0,,,True
1790380800,2026-09-26T00:00:00Z,Ang Thong,134,0.0,0.0,0.0,,,True
1790380800,2026-09-26T00:00:00Z,Lopburi,1632,0.001,0.201,0.0086,,15,True
1790380800,2026-09-26T00:00:00Z,Sing Buri,199,0.007,0.201,0.0653,,45,True
1790380800,2026-09-26T00:00:00Z,Chainat,627,0.01,0.201,0.0813,,30,True
1790380800,2026-09-26T00:00:00Z,Saraburi,476,0.0,0.0,0.0,,,True
1790380800,2026-09-26T00:00:00Z,Nakhon Ratchasima,2994,0.0,0.0,0.0,,,True
1790380800,2026-09-26T00:00:00Z,Chaiyaphum,3180,0.0,0.0,0.0,,,True
1790380800,2026-09-26T00:00:00Z,Nong Bua Lamphu,870,0.0,0.0,0.0,,,True
1790380800,2026-09-26T00:00:00Z,Khon Kaen,882,0.0,0.0,0.0,,,True
1790380800,2026-09-26T00:00:00Z,Udon Thani,518,0.0,0.0,0.0,,,True
1790380800,2026-09-26T00:00:00Z,Loei,2624,0.0,0.0,0.0,,,True
1790380800,2026-09-26T00:00:00Z,Chiang Mai,3187,0.0,0.0,0.0,,,True
1790380800,2026-09-26T00:00:00Z,Lamphun,1122,0.0,0.0,0.0,,,True
1790380800,2026-09-26T00:00:00Z,Lampang,2813,0.0,0.0,0.0,,,True
1790380800,2026-09-26T00:00:00Z,Uttaradit,1973,0.0,0.0,0.0,,,True
1790380800,2026-09-26T00:00:00Z,Phrae,1636,0.0,0.0,0.0,,,True
1790380800,2026-09-26T00:00:00Z,Nan,1766,0.0,0.0,0.0,,,True
1790380800,2026-09-26T00:00:00Z,Phayao,125,0.0,0.0,0.0,,,True
1790380800,2026-09-26T00:00:00Z,Nakhon Sawan,2390,0.014,0.299,0.1071,120,15,True
1790380800,2026-09-26T00:00:00Z,Uthai Thani,1670,0.028,0.69,0.124,60,15,True
1790380800,2026-09-26T00:00:00Z,Kamphaeng Phet,2141,0.005,0.196,0.0495,,15,True
1790380800,2026-09-26T00:00:00Z,Tak,4259,0.001,0.098,0.0075,,15,True
1790380800,2026-09-26T00:00:00Z,Sukhothai,1668,0.0,0.0,0.0,,,True
1790380800,2026-09-26T00:00:00Z,Phitsanulok,2660,0.0,0.0,0.0,,,True
1790380800,2026-09-26T00:00:00Z,Phichit,1081,0.001,0.098,0.0083,,15,True
1790380800,2026-09-26T00:00:00Z,Phetchabun,3098,0.013,0.299,0.092,,15,True
1790380800,2026-09-26T00:00:00Z,Kanchanaburi,2330,0.009,0.69,0.0361,,75,True
1790380800,2026-09-26T00:00:00Z,Suphan Buri,739,0.003,0.201,0.023,,15,True
1790381700,2026-09-26T00:15:00Z,Phra Nakhon Si Ayutthaya,14,0.0,0.0,0.0,,,True
1790381700,2026-09-26T00:15:00Z,Ang Thong,134,0.0,0.0,0.0,,,True
1790381700,2026-09-26T00:15:00Z,Lopburi,1632,0.0,0.0,0.0,,,True
1790381700,2026-09-26T00:15:00Z,Sing Buri,199,0.0,0.0,0.0,,,True
1790381700,2026-09-26T00:15:00Z,Chainat,627,0.011,0.201,0.1069,120,30,True
1790381700,2026-09-26T00:15:00Z,Saraburi,476,0.0,0.0,0.0,,,True
1790381700,2026-09-26T00:15:00Z,Nakhon Ratchasima,2994,0.0,0.0,0.0,,,True
1790381700,2026-09-26T00:15:00Z,Chaiyaphum,3180,0.0,0.0,0.0,,,True
1790381700,2026-09-26T00:15:00Z,Nong Bua Lamphu,870,0.0,0.0,0.0,,,True
1790381700,2026-09-26T00:15:00Z,Khon Kaen,882,0.0,0.0,0.0,,,True
1790381700,2026-09-26T00:15:00Z,Udon Thani,518,0.0,0.0,0.0,,,True
1790381700,2026-09-26T00:15:00Z,Loei,2624,0.0,0.0,0.0,,,True
1790381700,2026-09-26T00:15:00Z,Chiang Mai,3187,0.0,0.0,0.0,,,True
1790381700,2026-09-26T00:15:00Z,Lamphun,1122,0.0,0.0,0.0,,,True
1790381700,2026-09-26T00:15:00Z,Lampang,2813,0.0,0.0,0.0,,,True
1790381700,2026-09-26T00:15:00Z,Uttaradit,1973,0.0,0.0,0.0,,,True
1790381700,2026-09-26T00:15:00Z,Phrae,1636,0.0,0.0,0.0,,,True
1790381700,2026-09-26T00:15:00Z,Nan,1766,0.0,0.0,0.0,,,True
1790381700,2026-09-26T00:15:00Z,Phayao,125,0.0,0.0,0.0,,,True
1790381700,2026-09-26T00:15:00Z,Nakhon Sawan,2390,0.005,0.201,0.0464,,15,True
