origin,utc,name,n_cells,mean_mm,max_mm,coverage,eta_area,eta_first,reliable
1790289900,2026-09-24T22:45:00Z,Phra Nakhon Si Ayutthaya,14,0.014,0.098,0.1429,45,45,True
1790289900,2026-09-24T22:45:00Z,Ang Thong,134,0.27,1.245,0.7388,15,15,True
1790289900,2026-09-24T22:45:00Z,Lopburi,1632,0.05,1.147,0.2034,15,15,True
1790289900,2026-09-24T22:45:00Z,Sing Buri,199,0.269,1.044,0.9598,15,15,True
1790289900,2026-09-24T22:45:00Z,Chainat,627,0.529,2.582,0.74,15,15,True
1790289900,2026-09-24T22:45:00Z,Saraburi,476,0.011,0.294,0.0756,,15,True
1790289900,2026-09-24T22:45:00Z,Nakhon Ratchasima,2994,0.0,0.0,0.0,,,True
1790289900,2026-09-24T22:45:00Z,Chaiyaphum,3180,0.002,0.201,0.023,,15,True
1790289900,2026-09-24T22:45:00Z,Nong Bua Lamphu,870,0.0,0.0,0.0,,,True
1790289900,2026-09-24T22:45:00Z,Khon Kaen,882,0.0,0.0,0.0,,,True
1790289900,2026-09-24T22:45:00Z,Udon Thani,518,0.0,0.0,0.0,,,True
1790289900,2026-09-24T22:45:00Z,Loei,2624,0.0,0.098,0.0015,,15,True
1790289900,2026-09-24T22:45:00Z,Chiang Mai,3187,0.0,0.0,0.0,,,True
1790289900,2026-09-24T22:45:00Z,Lamphun,1122,0.0,0.0,0.0,,,True
1790289900,2026-09-24T22:45:00Z,Lampang,2813,0.0,0.0,0.0,,,True
1790289900,2026-09-24T22:45:00Z,Uttaradit,1973,0.0,0.0,0.0,,,True
1790289900,2026-09-24T22:45:00Z,Phrae,1636,0.0,0.0,0.0,,,True
1790289900,2026-09-24T22:45:00Z,Nan,1766,0.0,0.0,0.0,,,True
1790289900,2026-09-24T22:45:00Z,Phayao,125,0.0,0.0,0.0,,,True
1790289900,2026-09-24T22:45:00Z,Nakhon Sawan,2390,0.712,3.313,0.7983,15,15,True
1790289900,2026-09-24T22:45:00Z,Uthai Thani,1670,1.028,3.733,0.9946,15,15,True
1790289900,2026-09-24T22:45:00Z,Kamphaeng Phet,2141,0.834,3.39,0.8104,15,15,True
1790289900,2026-09-24T22:45:00Z,Tak,4259,0.286,3.059,0.336,30,15,True
1790289900,2026-09-24T22:45:00Z,Sukhothai,1668,0.001,0.201,0.009,,15,True
1790289900,2026-09-24T22:45:00Z,Phitsanulok,2660,0.018,1.049,0.0786,,15,True
1790289900,2026-09-24T22:45:00Z,Phichit,1081,0.581,2.126,0.926,15,15,True
1790289900,2026-09-24T22:45:00Z,Phetchabun,3098,0.025,0.946,0.1214,45,15,True
1790289900,2026-09-24T22:45:00Z,Kanchanaburi,2330,0.035,1.044,0.1558,105,15,True
1790289900,2026-09-24T22:45:00Z,Suphan Buri,739,0.204,1.24,0.7578,30,15,True
